C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\Erkomaishvili Dataset\GCH_OnsetAnnotations\GCH_OnsetAnnotations\GCH_101_Erkomaishvili_num_OnsetAnnotations_Seg1.csv
FromDataset
Erkomaishvili
Vocal
Solo
Traditional

0.000000







Sequence,Start time,End time,Duration,Type
1,5.023220,5.591837,0.568617,Sound
2,5.591837,6.262132,0.670295,Sound
3,6.262132,6.848980,0.586848,Sound
4,6.848980,7.404082,0.555102,Sound
5,7.404082,7.992063,0.587982,Sound
6,7.992063,9.722449,1.730385,Sound
7,9.722449,10.848980,1.126531,Sound
8,10.848980,11.869388,1.020408,Sound
9,11.869388,12.171429,0.302041,Sound
10,12.171429,12.702041,0.530612,Sound
11,12.702041,13.012245,0.310204,Sound
12,13.012245,13.306122,0.293878,Sound
13,13.306122,14.514286,1.208163,Sound
14,14.514286,15.844898,1.330612,Sound
15,15.844898,17.044898,1.200000,Sound
16,17.044898,18.220408,1.175510,Sound
17,18.220408,19.420408,1.200000,Sound
18,19.420408,20.359184,0.938776,Sound
19,20.359184,20.616327,0.257143,Sound
20,20.616327,21.197868,0.581542,Sound
21,21.197868,21.812245,0.614376,Sound
22,21.812245,22.881633,1.069388,Sound
23,22.881633,23.524717,0.643084,Sound
24,23.524717,24.187755,0.663039,Sound
25,24.187755,24.751020,0.563265,Sound
26,24.751020,25.973288,1.222268,Sound
27,25.973288,26.497959,0.524671,Sound
28,26.497959,27.673469,1.175510,Sound
29,27.673469,28.293878,0.620408,Sound
30,28.293878,28.824490,0.530612,Sound
31,28.824490,29.453061,0.628571,Sound
32,29.453061,29.951020,0.497959,Sound
33,29.951020,30.473469,0.522449,Sound
34,30.473469,30.987755,0.514286,Sound
35,30.987755,31.518458,0.530703,Sound
36,31.518458,32.065306,0.546848,Sound
37,32.065306,33.465760,1.400454,Sound
38,33.465760,33.942857,0.477097,Sound
39,33.942857,34.579592,0.636735,Sound
40,34.579592,35.054875,0.475283,Sound
41,35.054875,35.577324,0.522449,Sound
42,35.577324,35.850249,0.272925,Sound
43,35.850249,36.157823,0.307574,Sound
44,36.157823,37.297052,1.139229,Sound
45,37.297052,38.131519,0.834467,Sound
46,38.131519,38.639456,0.507937,Sound
47,38.639456,39.151020,0.511565,Sound
48,39.151020,39.673469,0.522449,Sound
49,39.673469,40.153832,0.480363,Sound
50,40.153832,40.636735,0.482902,Sound
51,40.636735,41.157370,0.520635,Sound
52,41.157370,42.514286,1.356916,Sound
53,42.514286,43.444898,0.930612,Sound
54,43.444898,44.553288,1.108390,Sound
55,44.553288,45.040907,0.487619,Sound
56,45.040907,45.296327,0.255419,Sound
57,45.296327,45.496599,0.200272,Sound
58,45.496599,46.563265,1.066667,Sound
59,46.563265,47.129252,0.565986,Sound
60,47.129252,47.599138,0.469887,Sound
61,47.599138,48.640000,1.040862,Sound
62,48.640000,49.725533,1.085533,Sound
63,49.725533,50.683356,0.957823,Sound
64,50.683356,51.565714,0.882358,Sound
65,51.565714,51.879184,0.313469,Sound
66,51.879184,52.372608,0.493424,Sound
67,52.372608,52.871837,0.499229,Sound
68,52.871837,53.852880,0.981043,Sound
69,53.852880,54.363719,0.510839,Sound
70,54.363719,54.891973,0.528254,Sound
71,54.891973,56.221315,1.329342,Sound
72,56.221315,56.714739,0.493424,Sound
73,56.714739,57.782857,1.068118,Sound
74,57.782857,58.305306,0.522449,Sound
75,58.305306,58.763900,0.458594,Sound
76,58.763900,59.274739,0.510839,Sound
77,59.274739,59.779773,0.505034,Sound
78,59.779773,60.267392,0.487619,Sound
79,60.267392,60.714376,0.446984,Sound
80,60.714376,61.264399,0.550023,Sound
81,61.264399,61.492245,0.227846,Sound
82,61.492245,61.736054,0.243810,Sound
83,61.736054,62.906122,1.170068,Sound
84,62.906122,63.404082,0.497959,Sound
85,63.404082,63.920181,0.516100,Sound
86,63.920181,64.424490,0.504308,Sound
87,64.424490,64.943311,0.518821,Sound
88,64.943311,65.141814,0.198503,Sound
89,65.141814,65.404082,0.262268,Sound
90,65.404082,66.391837,0.987755,Sound
91,66.391837,66.922449,0.530612,Sound
92,66.922449,67.444898,0.522449,Sound
93,67.444898,67.722449,0.277551,Sound
94,67.722449,67.951020,0.228571,Sound
95,67.951020,68.228571,0.277551,Sound
96,68.228571,68.595918,0.367347,Sound
97,68.595918,69.848526,1.252608,Sound
98,69.848526,70.813605,0.965079,Sound
99,70.813605,71.105306,0.291701,Sound
100,71.105306,71.343311,0.238005,Sound
101,71.343311,71.587120,0.243810,Sound
102,71.587120,71.813515,0.226395,Sound
103,71.813515,72.777143,0.963628,Sound
104,72.777143,73.208163,0.431020,Sound
105,73.208163,73.661224,0.453061,Sound
106,73.661224,74.543311,0.882086,Sound
107,74.543311,74.767347,0.224036,Sound
108,74.767347,74.991837,0.224490,Sound
109,74.991837,75.248980,0.257143,Sound
110,75.248980,75.493878,0.244898,Sound
111,75.493878,75.722449,0.228571,Sound
112,75.722449,76.350113,0.627664,Sound
113,76.350113,76.759365,0.409252,Sound
114,76.759365,77.276009,0.516644,Sound
115,77.276009,77.850703,0.574694,Sound
116,77.850703,81.113107,3.262404,Sound
117,84.770567,85.339184,0.568617,Sound
118,85.339184,86.009478,0.670295,Sound
119,86.009478,86.596327,0.586848,Sound
120,86.596327,87.151429,0.555102,Sound
121,87.151429,87.739410,0.587982,Sound
122,87.739410,88.316206,0.576795,Sound
123,88.316206,88.893001,0.576795,Sound
124,88.893001,90.596327,1.703326,Sound
125,90.596327,91.918776,1.322449,Sound
126,91.918776,92.449388,0.530612,Sound
127,92.449388,93.053469,0.604082,Sound
128,93.053469,94.261633,1.208163,Sound
129,94.261633,94.594286,0.332653,Sound
130,94.594286,94.926939,0.332653,Sound
131,94.926939,95.592245,0.665306,Sound
132,95.592245,96.792245,1.200000,Sound
133,96.792245,97.967755,1.175510,Sound
134,97.967755,99.167755,1.200000,Sound
135,99.167755,100.106531,0.938776,Sound
136,100.106531,100.363673,0.257143,Sound
137,100.363673,101.559592,1.195918,Sound
138,101.559592,102.628980,1.069388,Sound
139,102.628980,103.272063,0.643084,Sound
140,103.272063,103.935102,0.663039,Sound
141,103.935102,104.498367,0.563265,Sound
142,104.498367,105.720635,1.222268,Sound
143,105.720635,106.245306,0.524671,Sound
144,106.245306,107.420816,1.175510,Sound
145,107.420816,108.571837,1.151020,Sound
146,108.571837,110.735102,2.163265,Sound
147,110.735102,111.265805,0.530703,Sound
148,111.265805,111.539229,0.273424,Sound
