,0
0,1.5
1,2.77
2,2.93
3,3.18
4,3.24
5,3.43
6,3.52
7,4.03
8,4.78
9,5.11
10,5.17
11,5.62
12,5.71
13,7.35
14,7.91
15,8.47
16,9.04
17,9.52
18,9.62
19,10.17
20,10.71
21,11.79
22,11.86
23,12.33
24,12.78
25,12.88
26,13.44
27,14.0
28,14.54
29,15.13
30,15.75
31,16.25
32,16.36
33,16.88
34,17.37
35,17.47
36,18.55
37,19.13
38,19.68
39,20.23
40,20.83
41,21.39
42,21.94
43,22.49
44,23.01
45,23.05
46,23.55
47,24.08
48,24.65
49,25.13
50,25.76
51,26.01
52,26.24
53,26.75
54,27.3
55,27.74
56,27.87
57,28.39
58,28.45
59,28.96
60,29.43
61,29.49
62,29.92
63,30.02
64,30.55
65,31.17
66,31.56
67,31.61
68,31.9
69,32.06
70,32.13
71,32.41
72,32.6
73,32.65
74,33.25
75,33.67
76,34.2
77,35.23
78,35.65
79,35.76
80,35.86
81,36.3
82,36.39
83,36.84
